debugCXM32W:debug6SS2ZF,engagement,3
debugCXM32W:debug6SS2ZF,difficulty,3
debug1ES38X:debugTWAWF1,text response,sadfsafas
debug1ES38X:debugTWAWF1,engagement,5
debug1ES38X:debugTWAWF1,difficulty,5
debugPABZEX:debugET5B02,text response,dsfsfasddsfsdsdfsadfda 
debugPABZEX:debugET5B02,engagement,5
debugPABZEX:debugET5B02,difficulty,5
debug0JUK73:debugZILI36,difficulty,5
debug0JUK73:debugZILI36,engagement,5
debugQ1QV9V:debugRYUZFP,engagement,5
debugQ1QV9V:debugRYUZFP,difficulty,5
debugLPJZDI:debugL4G1X5,engagement,5
debugLPJZDI:debugL4G1X5,difficulty,5
debug4E5LS3:debugM9AVHA,engagement,5
debug4E5LS3:debugM9AVHA,difficulty,5
debugWHN18B:debugJISXQP,engagement,5
debugWHN18B:debugJISXQP,difficulty,5
debug7FXQUD:debug6KQ4U7,engagement,5
debug7FXQUD:debug6KQ4U7,difficulty,5
debugS56KFZ:debug8COKFK,engagement,5
debugS56KFZ:debug8COKFK,difficulty,5
debug7HWHON:debugA8YXHI,engagement,5
debug7HWHON:debugA8YXHI,difficulty,5
debugJV7SIO:debug3ZKRXX,engagement,5
debugJV7SIO:debug3ZKRXX,difficulty,5
debug1LSC8L:debug174RIJ,engagement,5
debug1LSC8L:debug174RIJ,difficulty,5
debugHP1MMG:debugO7YXNN,engagement,5
debugHP1MMG:debugO7YXNN,difficulty,5
debugL0DIM6:debugDNGYOJ,engagement,5
debugL0DIM6:debugDNGYOJ,difficulty,5
debugU882YL:debugXVJE2R,engagement,5
debugU882YL:debugXVJE2R,difficulty,5
debugF5E0MI:debugJC7KSG,engagement,5
debugF5E0MI:debugJC7KSG,difficulty,5
debugRPBQLH:debugHRZR1A,engagement,5
debugRPBQLH:debugHRZR1A,difficulty,5
debugNWSIEE:debugVB7RZJ,engagement,5
debugNWSIEE:debugVB7RZJ,difficulty,5
debugNRG9CQ:debugWLUTQX,engagement,5
debugNRG9CQ:debugWLUTQX,difficulty,5
debugRCABJ5:debugZAB2LR,engagement,5
debugRCABJ5:debugZAB2LR,difficulty,5
debugPVESTV:debug5PSV9P,engagement,5
debugPVESTV:debug5PSV9P,difficulty,5
