debugCVRSr:debug6ifxb,comment,"I wish the sliders had numbered increments because I feel like I was not consistent with my ratings throughout the entire survey. I also thought most of the behavior was mild because the robot's design is inherently cute. I would have found definitions of the criteria (positive, negative, mild, intense, etc,) helpful."
debugCVRSr:debug6ifxb,robot_experience,0
debugsjmSx:debugQMsKQ,comment,
debugsjmSx:debugQMsKQ,robot_experience,5
debugnYKJ1:debugdNuPz,comment,
debugnYKJ1:debugdNuPz,robot_experience,2
debug4FacW:debugdcKrk,comment,
debug4FacW:debugdcKrk,robot_experience,10
debugBbupX:debugk6Trv,comment,
debugBbupX:debugk6Trv,robot_experience,4
A183FHLXU6N68U:3J4Q2Z4UT30GFIZ1AH0RCBMFTW2WQY,comment,
A183FHLXU6N68U:3J4Q2Z4UT30GFIZ1AH0RCBMFTW2WQY,robot_experience,5
debug800I35:debugHQ6WW1,comment,this is debug
debug800I35:debugHQ6WW1,robot_experience,5
A51TOTZKECS9P:39KFRKBFISSHJBHLA5QB83CVP3KYOR,comment,this is sandbox trial
A51TOTZKECS9P:39KFRKBFISSHJBHLA5QB83CVP3KYOR,robot_experience,5
A2T57TGT2L4TVG:39LNWE0K4ZTQ6GMD29GHLLAWH6AUIU,comment,
A2T57TGT2L4TVG:39LNWE0K4ZTQ6GMD29GHLLAWH6AUIU,robot_experience,4
A51TOTZKECS9P:3TXWC2NHN4NHG2169AF4TRT5DJ2S9T,comment,
A51TOTZKECS9P:3TXWC2NHN4NHG2169AF4TRT5DJ2S9T,robot_experience,5
A51TOTZKECS9P:3VW6495TLOXTDPLNGSZ9AUAX3DJYY2,comment,
A51TOTZKECS9P:3VW6495TLOXTDPLNGSZ9AUAX3DJYY2,robot_experience,5
A51TOTZKECS9P:3DH6GAKTY3MTIFVSCE1SO1JZ97NYZT,comment,
A51TOTZKECS9P:3DH6GAKTY3MTIFVSCE1SO1JZ97NYZT,robot_experience,5
debugO7LW8Q:debugYAN8VL,comment,jj
debugO7LW8Q:debugYAN8VL,robot_experience,0
debug5DYE4J:debugAD9WBO,comment,sdf
debug5DYE4J:debugAD9WBO,robot_experience,0
debugXD6JI0:debugMC05DP,comment,
debugXD6JI0:debugMC05DP,robot_experience,0
debug7EE3OB:debugUC6TW2,comment,
debug7EE3OB:debugUC6TW2,robot_experience,0
debugHKJ3HK:debugUG6SXH,comment,
debugHKJ3HK:debugUG6SXH,robot_experience,0
debugJYOHYQ:debugU6PO10,comment,
debugJYOHYQ:debugU6PO10,robot_experience,0
debug86FR0A:debugRYFQZ8,comment,
debug86FR0A:debugRYFQZ8,robot_experience,0
debugRSF9KA:debugY1MV3F,comment,
debugRSF9KA:debugY1MV3F,robot_experience,0
debug0YST7T:debugS13ZML,comment,sdfasas
debug0YST7T:debugS13ZML,robot_experience,0
debug6M21Z2:debug0AN38D,comment,
debug6M21Z2:debug0AN38D,robot_experience,0
debugFP1AW1:debugZSCKK3,comment,
debugFP1AW1:debugZSCKK3,robot_experience,0
debugM3LWRD:debug27C672,comment,
debugM3LWRD:debug27C672,robot_experience,0
debug3KVELN:debugAK0VPM,comment,
debug3KVELN:debugAK0VPM,robot_experience,0
debugFAGWT8:debugSOX9BS,comment,
debugFAGWT8:debugSOX9BS,robot_experience,0
debugRHYVG6:debugDZWW2Y,comment,
debugRHYVG6:debugDZWW2Y,robot_experience,0
debugeGbi4:debug3dH5n,comment,"sandbox debug
"
debugeGbi4:debug3dH5n,robot_experience,0
debugUmfBu:debugZCF2l,comment,
debugUmfBu:debugZCF2l,robot_experience,0
